btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.0800005837,-0.5149835229,-0.4137673068,-0.9286660249,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056074985,-0.9305275083,-0.7132640549,1.5417297174,0
-2.0788981859,-0.5149835229,-0.4137673068,-0.9286657013,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9055853857,-0.9304855343,-0.7132640549,1.5415178786,0
-2.0778950039,-0.5149835229,-0.4137673068,-0.9286657276,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056351394,-0.9305799757,-0.7132640549,1.541994516,0
-2.0770241096,-0.5149835229,-0.4137673068,-0.9286661433,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057014776,-0.9307058976,-0.7132640549,1.5426300324,0
-2.0762193592,-0.5149835229,-0.4137673068,-0.9286667556,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057346468,-0.9307688586,-0.7132640549,1.5429477907,0
-2.075315393,-0.5149835229,-0.4137673068,-0.9282523368,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0372510422,-0.9056738367,-0.9306534302,-0.5492875058,1.495495888,0
-2.0744665467,-0.5149835229,-0.4137673068,-0.9286656276,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.905712534,-0.9307268846,-0.7132640549,1.5427359518,0
-2.0733641488,-0.5149835229,-0.4137673068,-0.9286657013,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9055853857,-0.9304855343,-0.7132640549,1.5415178786,0
-2.0723058469,-0.5149835229,-0.4137673068,-0.9286651401,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056074985,-0.9305275083,-0.7132640549,1.5417297174,0
-2.0711814012,-0.5149835229,-0.4137673068,-0.9286659505,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9055743294,-0.9304645473,-0.7132640549,1.5414119591,0
