Date(UTC),UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
2015-09-25,-1.481202361,-0.558074522,-0.7289491902,-0.648397387,-1.4458397838,-0.549864113,-0.5843218666,-0.4955904474,-0.4200591635,-0.3609553145,-0.5698701378,0.2191493245,0.2465722437,-0.6976640867,-0.6600939366,-0.4465654281,-0.5380999139
2015-09-26,-1.4768586591,-0.5578782928,-0.7284004142,-0.6483656774,-1.4421193976,-0.549708545,-0.5842472969,-0.495189203,-0.683369619,-0.534664719,-0.570316034,0.4192669804,0.3018883197,-0.6976905894,-0.6635886085,-0.7228201022,-0.5380999139
2015-09-27,-1.4725149572,-0.5572896051,-0.7298409513,-0.6483242502,-1.4385281276,-0.5492454319,-0.5846378802,-0.4951474736,-0.8942866675,-0.7269858454,-0.5792339575,0.6227764609,0.2231978008,-0.6976243328,-0.662550754,-0.9500707667,-0.4862976443
2015-09-28,-1.4681712552,-0.5587613242,-0.7262837065,-0.6482654339,-1.4349794851,-0.5503969766,-0.5858849784,-0.4959595921,-0.9413063916,-0.9255108792,-0.5725455149,0.6566947077,0.253606566,-0.6976846999,-0.6613961375,-1.0250970504,-0.4862976443
2015-09-29,-1.4638275533,-0.559055668,-0.7300565419,-0.648202526,-1.4314804922,-0.5506261812,-0.5876720797,-0.4970670265,-1.0729616194,-0.6835584943,-0.5709848782,0.8228941168,0.3041168373,-0.6975941492,-0.6645430416,-1.1124829272,0.0745958958
2015-09-30,-1.4594838513,-0.5576820636,-0.7287629983,-0.6481503584,-1.4278773539,-0.5495472809,-0.5882406792,-0.4977603767,-0.9157813985,-0.4229943875,-0.57544384,0.663478357,0.2311865545,-0.6975139052,-0.6633984404,-0.9291818699,-0.5380999139
2015-10-01,-1.4551401494,-0.5582707512,-0.723363434,-0.6481007481,-1.4239399044,-0.5500070847,-0.5870327142,-0.4977154373,-0.3072118255,-0.3175279633,-0.5756667881,0.1241782336,0.2314286283,-0.6975632295,-0.6622338682,-0.3407783681,-0.2022783039
2015-10-02,-1.4507964475,-0.5583688658,-0.7268716809,-0.648059321,-1.4200755273,-0.5500822117,-0.5864050441,-0.4971873998,-0.3972210118,-0.6215194213,-0.5685324493,0.1818392531,0.2514796156,-0.6975926769,-0.6607204796,-0.4693892133,-0.5380999139
2015-10-03,-1.4464527455,-0.5579764074,-0.7263915018,-0.6479948787,-1.4162771105,-0.549772235,-0.5859099444,-0.4966914618,-0.4858867774,-0.820044455,-0.5694242416,0.256459396,0.2502847523,-0.6976125538,-0.6604528872,-0.5854825155,-0.5380999139
2015-10-04,-1.4421090436,-0.5581726366,-0.7213741208,-0.6479498715,-1.4126184892,-0.5499245015,-0.586575427,-0.4968278849,-0.7424801294,-0.8882874354,-0.567863605,0.4701443505,0.21782803,-0.6976118176,-0.6606653545,-0.8315292385,-0.5380999139
2015-10-05,-1.4377653416,-0.5583688658,-0.7247549733,-0.6478823605,-1.4088655716,-0.5500768292,-0.5860765567,-0.4967010917,-0.5772393844,-0.820044455,-0.5689783455,0.3276877142,0.2180034432,-0.69766924,-0.6527200879,-0.6655632014,-0.5380999139
2015-10-06,-1.4334216397,-0.5586632096,-0.7230008498,-0.6478332617,-1.4052706446,-0.550306458,-0.5865250411,-0.4967155365,-0.8499537846,-0.9813460449,-0.5667488646,0.537980844,0.2296093444,-0.6975595486,-0.6587858957,-0.9436343013,0.0745958958
2015-10-07,-1.4290779378,-0.5588594388,-0.7165037334,-0.6477836514,-1.4015181981,-0.5504590294,-0.5867868652,-0.4971841898,-0.5839564878,-0.8014327331,-0.5607292662,0.3412550129,0.2260472783,-0.6976677676,-0.6507609339,-0.6663924393,0.0745958958
2015-10-08,-1.4247342358,-0.5587613242,-0.71841465,-0.6477498959,-1.397672622,-0.5503801492,-0.5864244244,-0.4971938197,-0.3851302255,-0.9565304157,-0.5649652799,0.1750556038,0.3322701298,-0.6976464183,-0.6547488818,-0.5024797532,-0.5380999139
2015-10-09,-1.4203905339,-0.558565095,-0.7200119803,-0.6477115374,-1.3940186673,-0.5502241008,-0.5867497501,-0.496961098,-0.7169551362,-1.1116280983,-0.5671947607,0.4633607012,0.4238203398,-0.6976567249,-0.6596495463,-0.8397426422,-0.5380999139
2015-10-10,-1.416046832,-0.558565095,-0.7223050802,-0.6476808507,-1.3903572415,-0.550222396,-0.5869162111,-0.4971071509,-0.7290459225,-0.9565304157,-0.5674177088,0.4599688765,0.4775821179,-0.697585315,-0.6609299048,-0.8265932988,-0.5380999139
2015-10-11,-1.41170313,-0.5588594388,-0.7272636638,-0.6476522097,-1.3865506358,-0.5504523871,-0.586291902,-0.4969354183,-0.4912604601,-0.7642092893,-0.5741061515,0.2802021687,0.32028232,-0.6976302223,-0.6647005743,-0.5710695715,-0.5380999139
2015-10-12,-1.4073594281,-0.5584669804,-0.7216779076,-0.6475939048,-1.382702502,-0.5501415495,-0.585894818,-0.4969257885,-0.3905039083,-0.8696757134,-0.565411176,0.1343537077,0.2293233321,-0.6976567249,-0.6560096869,-0.4979781762,-0.5380999139
2015-10-13,-1.4030157261,-0.5589575534,-0.7194730038,-0.6474905926,-1.3788732813,-0.5505262904,-0.585668102,-0.4965855333,-0.4442407359,-0.7642092893,-0.5584997853,0.2293247986,0.2634383682,-0.6976655591,-0.6514967232,-0.5312661536,-0.5380999139
2015-10-14,-1.3986720242,-0.5598405849,-0.7193554089,-0.6473724485,-1.3751578758,-0.551220705,-0.5858718442,-0.4963849111,-0.6779959362,-0.6463350505,-0.5645193837,0.412483331,0.3506979242,-0.6976552525,-0.6572934892,-0.7315863311,-0.2022783039
2015-10-15,-1.3943283223,-0.5589575534,-0.7225990673,-0.6472517472,-1.3714805433,-0.5505230635,-0.5865256794,-0.4968230699,-0.6887433017,-0.9999577668,-0.5571620968,0.4430097531,0.2928536389,-0.6976537801,-0.6278180947,-0.7985966487,-0.5380999139
2015-10-16,-1.3899846203,-0.5597424703,-0.7196983939,-0.6471975338,-1.367827486,-0.5511405946,-0.5874394202,-0.497455431,-0.7465103914,-0.9379186938,-0.5564932525,0.5006707726,0.2668379268,-0.6976751295,-0.6176540021,-0.8413221429,-0.5380999139
2015-10-17,-1.3856409184,-0.5595462411,-0.7219326964,-0.6471422976,-1.3640295179,-0.5509843211,-0.586585023,-0.4971520903,-0.5140986119,-0.6959663089,-0.565188228,0.2632430453,0.270774701,-0.6976876446,-0.6502099102,-0.5862722658,0.0745958958
2015-10-18,-1.3812972164,-0.5598405849,-0.7227754597,-0.6470742753,-1.3603180386,-0.5512151991,-0.5869602549,-0.4972002396,-0.6632183086,-0.7890249185,-0.5598374739,0.4056996817,0.2411863027,-0.697708994,-0.6465792937,-0.7384966467,-0.4862976443
2015-10-19,-1.3769535145,-0.5600368141,-0.7215701123,-0.6469515281,-1.3565895533,-0.5513687606,-0.587054548,-0.4972836984,-0.6229156879,-0.8262483623,-0.5620669547,0.4090915064,0.2494453482,-0.6976788104,-0.6527981393,-0.7085651083,-0.5380999139
2015-10-20,-1.3726098126,-0.5605273871,-0.7284984099,-0.6469008949,-1.3528286486,-0.551754919,-0.5871808317,-0.4974233314,-0.6027643775,-0.5718881628,-0.5692012935,0.3785650843,0.2734897058,-0.697633167,-0.6576224654,-0.6515056451,-0.5380999139
2015-10-21,-1.3682661106,-0.5606255017,-0.7257055318,-0.646766896,-1.3490887211,-0.5518312489,-0.5870742087,-0.4973575274,-0.6027643775,-0.8386561769,-0.5683095012,0.3853487336,0.2702104643,-0.6976478907,-0.6597403259,-0.6884264742,-0.4862976443
2015-10-22,-1.3639224087,-0.5588594388,-0.7276948449,-0.6466881332,-1.3454515481,-0.5504341483,-0.5878185295,-0.4975854342,-0.8109945846,-0.73939366,-0.5665259165,0.5752909155,0.3374444891,-0.6976294861,-0.6487957823,-0.8692793054,-0.5380999139
2015-10-23,-1.3595787068,-0.5592518972,-0.7187870337,-0.6465832867,-1.3414944901,-0.5507427214,-0.5863702976,-0.4973527124,-0.2360105288,-0.5780920701,-0.5584997853,0.0597335648,0.2265233594,-0.6976986874,-0.6444737994,-0.3062662776,0.0745958958
2015-10-24,-1.3552350048,-0.5594481265,-0.7239514083,-0.646356716,-1.3376011263,-0.5508963281,-0.585582324,-0.4966962767,-0.3596052324,-0.5470725336,-0.5689783455,0.1479210064,0.2181263477,-0.6977075216,-0.6538288389,-0.4183713404,0.0745958958
2015-10-25,-1.3508913029,-0.558565095,-0.7291549812,-0.6461889616,-1.3337509509,-0.55019604,-0.5851465642,-0.4962131786,-0.4603617842,-0.454013924,-0.5734373072,0.2225411492,0.2343759905,-0.6977038407,-0.6617205191,-0.4943848121,-0.5380999139
